"","X","Group","HostReportedName","HostCorrectedName","HostOrder","HostFamily","HostEnvironment","ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","ParType","ParPhylum","ParClass","Citation","LocationName","Longitude","Latitude","PopulationType","SamplingBasis","SampleNotes","Prevalence","HostsSampled","HostSex","HostAge","Intensity","IntensityMeasure","NativeRange","NumSamples","SamplingType"
"77",898,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Sleeping Giant Provincial Park, Ontario",-88.8,48.37,"WN","Animals","cranium necropsy",0.5,2,"All","All","",NA,"Yes",2,"Other"
"78",899,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Sleeping Giant Provincial Park, Ontario",-88.8,48.37,"WN","Animals","cranium necropsy",1,1,"Male","Juvenile","",NA,"Yes",1,"Other"
"79",900,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Thunder Bay, Ontario",-89.25,48.38,"WN","Animals","cranium necropsy",1,1,"Female","Juvenile","",NA,"Yes",1,"Other"
"80",901,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Thunder Bay, Ontario",-89.25,48.38,"WN","Animals","cranium necropsy",1,1,"Male","Juvenile","",NA,"Yes",1,"Other"
"81",902,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Lankester et al 2007","Thunder Bay, Ontario",-89.25,48.38,"WN","Animals",NA,0.5,4,"All","All","",NA,"Yes",4,"DirectFecal"
"82",903,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","McCollough and Pollard 1993","Maine, USA",-69.45,45.25,"WN",NA,"feces",0.0034,295,NA,NA,"",NA,"Yes",295,NA
"83",904,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Paralaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Ogunremi et al 2002","Grand Marais, Minnesota",-90.33,47.75,"WO","Animals","ELISA test for serum antibodies against larval excretory-secretory products of P. Tenuis",0.095,21,NA,NA,"",NA,"Yes",21,"Serology"
"84",905,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Thomas and Dodds 1988","Colchester County, Nova Scotia, Canada",-63.33,45.43,"WN",NA,"feces",0.18,38,NA,NA,"",NA,"Yes",38,NA
"85",906,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Thomas and Dodds 1988","Halifax county, Nova Scotia, CANADA",-63.15,44.87,"WN",NA,"feces",0.15,85,NA,NA,"",NA,"Yes",85,NA
"86",907,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Thomas and Dodds 1988","Nova Scotia",-63.74,44.68,"WN",NA,"organs-heads",0.06,92,NA,NA,"",NA,"Yes",92,NA
"87",908,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Thomas and Dodds 1988","Pictou County, Nova Scotia",-62.65,45.58,"WN",NA,"feces",0.07,15,NA,NA,"",NA,"Yes",15,NA
"88",909,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Thomas and Dodds 1988","Shelburne County, Nova Scotia",-65.36,43.81,"WN",NA,"feces",0.28,39,NA,NA,"",NA,"Yes",39,NA
"89",910,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","yes","Helminth","Nematoda","Secernentea","Upshall et al 1987","New Brunswick, Canada",-66.38,46.61,"WN",NA,"organs-heads",0.33,3,NA,NA,"",NA,"Yes",3,NA
"90",932,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Taenia hydatigena","Taenia hydatigena","yes","Helminth","Platyhelminthes","Cestoda","Pybus 1990","throughout Alberta province in Canada,Saskatchewan in the Cypress Hills area, Camp Wainwright",-116.58,53.93,"WN",NA,"organs-liver and often lungs",0.61,191,NA,NA,"",NA,"Yes",191,NA
"91",933,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Taenia hydatigena","Taenia hydatigena","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.444,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"92",947,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Trichuris discolor","Trichuris discolor","yes","Helminth","Nematoda","Enoplea","Hoeve et al 1988","Larose Forest, eastern Ontario",-75.17,45.37,"WN",NA,"organs-heart, lungs, liver, spleen, kidneys, stomach, large and small intestine",0.25,16,NA,NA,"",NA,"Yes",16,NA
"93",948,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Trichuris ovis","Trichuris ovis","yes","Helminth","Nematoda","Enoplea","Hoeve et al 1988","Larose Forest, eastern Ontario",-75.17,45.37,"WN",NA,"organs-heart, lungs, liver, spleen, kidneys, stomach, large and small intestine",0.13,16,NA,NA,"",NA,"Yes",16,NA
"94",949,"ungulates","Alces alces","Alces alces","Artiodactyla","Cervidae","terrestrial","Trichuris ovis","Trichuris ovis","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.333,18,NA,NA,"",NA,"Yes",18,"DirectOther"
"95",1031,"primates","Alouatta caraya","Alouatta caraya","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1998","Argentina",-64,-34,NA,"Animals",NA,0.21,88,"All","All","",NA,NA,88,"Fecal"
"96",1032,"primates","Alouatta caraya","Alouatta caraya","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1998","Argentina",-64,-34,NA,"Animals",NA,0.03,88,"All","All","",NA,NA,88,"Fecal"
"97",1033,"primates","Alouatta caraya","Alouatta caraya","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Pope 1966","Bella Vista, Corrientes, Argentina",-58.83,-28.5,NA,"Animals",NA,0.14,88,"All","Immature","",NA,NA,34,"Tissue"
"98",1034,"primates","Alouatta caraya","Alouatta caraya","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Pope 1966","Bella Vista, Corrientes, Argentina",-58.83,-28.5,NA,"Animals",NA,0.22,88,"All","All","",NA,NA,88,"Tissue"
"99",1035,"primates","Alouatta caraya","Alouatta caraya","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Pope 1966","Bella Vista, Corrientes, Argentina",-58.83,-28.5,NA,"Animals",NA,0.24,88,"Male","All","",NA,NA,54,"Tissue"
"100",1036,"primates","Alouatta caraya","Alouatta caraya","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Pope 1966","Bella Vista, Corrientes, Argentina",-58.83,-28.5,NA,"Animals",NA,0.18,88,"Female","All","",NA,NA,34,"Tissue"
"101",1037,"primates","Alouatta caraya","Alouatta caraya","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Pope 1966","Bella Vista, Corrientes, Argentina",-58.83,-28.5,NA,"Animals",NA,0.2,88,"All","Adult","",NA,NA,50,"Tissue"
"102",1067,"primates","Alouatta fusca","Alouatta guariba","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1998","Venezuela",-66,8,NA,"Animals",NA,NA,NA,NA,NA,"",NA,NA,NA,"Fecal"
"103",1132,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1998","Costa Rica",-84,10,NA,"Animals",NA,0.98,155,"All","All","",NA,NA,155,"Fecal"
"104",1133,"primates","Alouatta palliata palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1990","La Pacifica",-85.11,10.46,NA,"Animals",NA,1,103,"All","All","",NA,NA,103,"Fecal"
"105",1134,"primates","Alouatta palliata palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1990","La Pacifica",-85.11,10.46,NA,"Animals",NA,1,155,"All","All","",NA,NA,155,"Fecal"
"106",1135,"primates","Alouatta palliata inconsonans","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","National Parasite Collection (WWW)","Panama",-80.782127,8.537981,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"107",1136,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1998","Panama",-80.782127,8.537981,NA,"Animals",NA,0.16,84,"All","All","",NA,NA,84,"Fecal"
"108",1137,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Valdespino et al. 2010","Santa Marta Fragment A, Santa Marta mountain range, Veracruz, Mexico",94.0833,18.3,NA,"Samples",NA,0.529,5,"All","All","109.09+/-15.3","eggs/gram",NA,30,"Fecal"
"109",1138,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Valdespino et al. 2010","Santa Marta Fragment B, Santa Marta mountain range, Veracruz, Mexico",94.0833,18.3,NA,"Samples",NA,NA,8,"All","All","88.64+/-10.88","eggs/gram",NA,48,"Fecal"
"110",1139,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Valdespino et al. 2010","Santa Marta Fragment C, Santa Marta mountain range, Veracruz, Mexico",94.0833,18.3,NA,"Samples",NA,NA,13,"All","All","79.55+/-6.29","eggs/gram",NA,85,"Fecal"
"111",1140,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Valdespino et al. 2010","Santa Marta Fragment D, Santa Marta mountain range, Veracruz, Mexico",94.0833,18.3,NA,"Samples",NA,NA,11,"All","All","79.55+/-8.49","eggs/gram",NA,85,"Fecal"
"112",1141,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Valdespino et al. 2010","Santa Marta Fragment E, Santa Marta mountain range, Veracruz, Mexico",94.0833,18.3,NA,"Samples",NA,0.091,6,"All","All","54.55+/-3.14","eggs/gram",NA,30,"Fecal"
"113",1142,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Valdespino et al. 2010","Santa Marta Fragments, Santa Marta mountain range, Veracruz, Mexico",94.0833,18.3,NA,"Samples",NA,0.232,43,"All","All","63.64+/-3.27","eggs/gram",NA,278,"Fecal"
"114",1143,"primates","Alouatta palliata","Alouatta palliata","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Valdespino et al. 2010","Santa Marta Fragments, Santa Marta mountain range, Veracruz, Mexico",94.0833,18.3,NA,"Samples",NA,0.511,43,"All","All","100.91+/-7.77","eggs/gram",NA,278,"Fecal"
"115",1226,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2006","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.08,25,"All","All","",NA,NA,25,"Fecal"
"116",1227,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2006","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.27,41,"All","All","",NA,NA,41,"Fecal"
"117",1228,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.077,25,"Male","All","",NA,NA,13,"Fecal"
"118",1229,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.268,41,"All","All","",NA,NA,41,"Fecal"
"119",1230,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.2,41,"Male","All","",NA,NA,20,"Fecal"
"120",1231,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.091,25,"Female","All","",NA,NA,11,"Fecal"
"121",1232,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.25,41,"All","Adult","",NA,NA,28,"Fecal"
"122",1233,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.08,25,"All","All","",NA,NA,25,"Fecal"
"123",1234,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.368,41,"Female","All","",NA,NA,19,"Fecal"
"124",1235,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.125,25,"All","Adult","",NA,NA,16,"Fecal"
"125",1236,"primates","Alouatta pigra","Alouatta pigra","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Vitazkova and Wade 2007","Belize and Mexico",-89.266152,18.239142,NA,"Animals",NA,0.308,41,"All","Immature","",NA,NA,13,"Fecal"
"126",1305,"primates","Alouatta seniculus","Alouatta seniculus","Primates","Atelidae","terrestrial","Trichuris trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Phillips et al. 2004","Tampobata Research Center",-69.2,-12.7,NA,"Animals",NA,0.125,16,"All","All","",NA,NA,16,"Fecal"
"127",1318,"primates","Alouatta seniculus","Alouatta seniculus","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1998","Columbia",-72,4,NA,"Animals",NA,NA,1,NA,NA,"",NA,NA,1,"Fecal"
"128",1319,"primates","Alouatta seniculus","Alouatta seniculus","Primates","Atelidae","terrestrial","Trypanoxyuris (Trypanoxyuris) minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Hugot 1985","French Guiana",-53.125782,3.933889,NA,NA,NA,NA,1,NA,NA,"",NA,NA,1,"Tissue"
"129",1320,"primates","Alouatta seniculus","Alouatta seniculus","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Hugot 1999","French Guiana",-53.125782,3.933889,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Tissue"
"130",1321,"primates","Alouatta seniculus","Alouatta seniculus","Primates","Atelidae","terrestrial","Trypanoxyuris minutus","Trypanoxyuris minutus","yes","Helminth","Nematoda","Secernentea","Stuart et al. 1998","Surinam",-56,4,NA,"Animals",NA,NA,1,NA,NA,"",NA,NA,1,"Fecal"
"131",1393,"ungulates","Antidorcas marsupialis","Antidorcas marsupialis","Artiodactyla","Bovidae","terrestrial","Nematodirus spathiger","Nematodirus spathiger","yes","Helminth","Nematoda","Secernentea","Boomker et al 2000","Bredasdorp, Western Cape Province, South Africa",20.04,-34.53,"WN",NA,"organs- gi tract, heart, lung liver",1,1,NA,NA,"",NA,"Yes",1,NA
"132",1394,"ungulates","Antidorcas marsupialis","Antidorcas marsupialis","Artiodactyla","Bovidae","terrestrial","Nematodirus spathiger","Nematodirus spathiger","yes","Helminth","Nematoda","Secernentea","Boomker et al 2000","Bredasdorp, Western Cape Province, South Africa",20.04,-34.53,"WN",NA,"organs- gi tract, heart, lung liver",1,1,"Female",NA,"",NA,"Yes",1,NA
